企业名称,企业性质,所在城市,薪资待遇,作息时间,学历要求,核心业务,对口专业,深度调研结论,风险提示,官方网址
"四川雅化实业集团股份有限公司","民企","四川雅安","未知","待核对","本科及以上（历史样本，待核对）","民爆业务,锂业务,危化运输,多地布局","关注民爆产品、爆破矿服和化工安全的学生。,能接受多省工作地点和生产现场差异的学生。,希望同时了解民爆和新能源材料业务的学生。","公开资料显示，雅化集团有民爆和锂业务双主业，民爆板块涉及产品、爆破及矿服。历史校招曾列出弹药工程与爆炸技术、化工安全等专业，但岗位、地点和薪资应以最新公告为准，不能沿用旧口径。","历史校招不能代表当前招聘计划。;工作地点可能分布在四川及外省子公司。;薪资、作息、福利未找到可靠当前口径。;危化运输和生产岗位可能有安全培训要求。","https://www.scyahua.com/"
"夏芮智能科技有限公司","民企","闽侯县福州","未知","双休","本科及以上","毒品爆炸物检测,智慧公安,物证检验鉴定设备,双百计划领军人才创业","兵器类,探测制导,安全工程,机械自动化","夏芮智能科技有限公司由厦门大学拉曼光谱研究团队领军人才联合创办，核心业务深耕公共安全领域，主攻毒品及爆炸物生化检测、智慧公安及安防装备研发。其业务方向与弹药工程、爆炸技术及探测制导专业高度契合。公司实行周末双休制度，对于相关专业毕业生而言，是具有较高成长潜力和良好工作平衡的理想对口民企去向。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","https://www.xiarui-tech.com/"
"大连度达理工安全系统有限公司","民企","辽宁省大连市","未知","待核对","本科及以上","爆破片,阻火器,无焰泄放,爆炸抑制","关注防爆电器、工业爆炸防护装备及配套的学生。,希望寻找长三角或华东区域防爆制造板块的学生。","大连度达理工安全系统有限公司是国内专业的爆炸安全防护 / 压力泄压领域主体，产品包括爆破片、阻火器、无焰泄放、爆炸抑制等。其产品及方向适用于弹药与爆炸技术防爆管理及配套，但具体岗位及作息待遇数据尚未被官方招聘直接佐证，需以当年最新材料核实。","当前无公开可考证的薪资与作息数据。;具体生产及研发岗位的学历门槛可能发生变化。;独立校招公告需按学校就业网最新批次更新。","https://www.duta.com.cn/about"
"天津泰克顿民用爆破器材有限公司","民营企业","待核对天津市蓟县","未知","待核对","待核对","民用爆破器材进出口贸易,依托母公司生产单位,安全规范合规经营","关注民爆行业贸易业务的观察者,了解爆炸技术应用但不追求生产/试验岗位的学生,感兴趣于危化品管理或进出口的实习生","天津泰克顿民用爆破器材有限公司为2010年成立的民用爆破器材综合性贸易公司，主要从事民爆器材（硝酸铵、雷管、炸药等）国内贸易及进出口。依托母公司生产单位支持，客户覆盖国内多省市及海外。官网可信，无招聘公告或校招信息公开可见，属于生产贸易型企业，非纯科研或试验机构。学生调研时需注意其贸易性质的低研究相关度及任何涉密或现场风险。未发现当前校招或薪资公开数据。","无公开招聘公告或校招信息;工作地点可能在生产基地（需确认是否涉现场或倒班）;控股关系部分公开报道但未全部官方核实;民爆行业可能涉及资质审批、运输等合规要求;未发现薪资或作息可靠来源","https://www.taikedun.com/"
"天津爱思达航天科技股份有限公司","民企","东丽区天津","未知","待核对","硕士及以上/本科","专精特新小巨人,碳纤维复合材料,轻量化结构,商业航天","材料类,机械工程,兵器类,力学","爱思达航天是专注于航空航天碳纤维复合材料轻量化结构的民营高新企业，深耕商业航天与防务装备领域。对于兵器类、材料类、机械等相关专业毕业生具有较高的专业契合度和良好的职业发展潜力。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","https://job.hebut.edu.cn/"
"宁夏天长民爆器材有限责任公司","待核对","宁夏回族自治区石嘴山市","未知","待核对","待核对","宁夏区域,民爆生产,电子雷管,政府许可资料","关注宁夏区域民爆企业的学生,关注电子雷管和炸药生产线索的学生,需要查找地方民爆企业入口的学生","宁夏天长民爆器材有限责任公司在宁夏工信厅许可资料和地方政府信息中可追踪，方向涉及民用爆炸物品生产、电子雷管和炸药产能调整。该条目适合补充宁夏区域民爆入口，但未见官网和公开校招，岗位、薪资、作息和股权口径需要后续复查。","未找到企业官网和公开校招入口。;工作地点可能较固定，岗位开放度需确认。;股权和签约主体需按最新资料复查。;薪资、作息和学历要求没有公开稳定来源。","https://gxt.nx.gov.cn/zwgk/fdzdgknr/glfw/xzxk/202110/t20211019_3617843.html"
"安徽北方华鑫智控科技有限公司","国企","安徽省蚌埠市","未知","待核对","本科/硕士","兵器工业参股,江南化工参股,微电子核心企业","弹药工程、微电子技术方向的研究生,倾向长三角/安徽地区兵工国企的学生","兵器工业内稀缺的专注电子雷管底层核心器件（芯片与模组）的专业公司，高度契合电子雷管智能化的发展大势。承担了特种能源集团在电子雷管起爆控制模块领域的核心技术攻关任务。","确切全称和内部组织架构较复杂;招聘平台信息分散且不明显;暂时无法直接获取应届生薪资标准","https://www.cumtb.edu.cn/test1"
"安徽向科化工有限公司","待核对","安徽省；待核对安庆市怀宁县茶岭镇；待核对","未知","待核对","本科及以上；待核对","民爆产品生产,爆破一体化服务,江南化工全资子公司,安徽省高新技术企业","对民爆工程、爆破技术、含能材料工艺感兴趣的学生,熟悉化工安全、爆炸物处理或试验验证专业方向,希望进入含能材料生产或爆破一体化服务行业的应届毕业生,关注安徽化工企业就业的学生","安徽向科化工有限公司是安徽江南化工股份有限公司的全资子公司，位于安徽省安庆市怀宁县茶岭镇，主要从事民用爆炸物品生产和工程爆破一体化服务，属于民爆及含能材料行业，与弹药工程与爆炸技术专业有直接相关度（涉及爆破工程、含能材料生产、试验验证等环节）。公司规模中型，员工约100-499人，曾被评为安徽省高新技术企业、先进安全文化建设示范企业。公开资料显示其有参与江南化工校园招聘的记录，工作地点在安徽，业务与民爆产品研发、生产及爆破服务直接相关。适合对民爆工程、含能材料工艺制造、安全技术有兴趣的学生参考，但目前无独立官网、无近期校招公告、无薪资或作息公开信息，信息时效性有限。","工作地点为安徽分公司，非总部；招聘信息为历史数据;行业属性可能涉及安全管理、现场作业，存在潜在涉密或许可相关要求;无最新校招公告，信息可能已过期或岗位调整;薪资、作息安排无公开来源，需通过母公司或实地咨询确认;信息来源主要为母公司公告和平台记录，未见企业独立招聘页面","待核对"
"安徽江南化工股份有限公司","国企","安徽合肥","未知","待核对","待核对","兵器工业体系,民爆主业,智能爆破,新能源业务","关注兵工体系民爆企业的学生。,关注工业炸药、雷管和爆破服务的学生。,希望了解民爆智能制造方向的学生。","公开资料显示，江南化工由北方特种能源集团控股，以民爆为主，同时布局新能源业务。其民爆产品、爆破服务和智能制造线索与弹药工程、爆破工程、安全技术相关；招聘页只作线索，待遇和岗位需复核。","招聘聚合页不能支撑薪资和作息。;不同子公司和项目地点差异可能较大。;新能源业务与本专业相关性弱于民爆主业。;具体岗位需核对当年官方校招公告。","https://www.ahjnhg.com/"
"安徽盾安民爆器材有限公司","待核对","安徽待核对","未知","待核对","待核对","民爆器材生产,粉状乳化炸药,所属江南化工,安徽安庆","对民爆材料生产感兴趣的学生,了解含能材料与火工品技术的专业背景,关注安徽军工与化工企业发展的学生,需要了解爆破一体化服务的学生","安徽盾安民爆器材有限公司存在于历史公开记录中，主要从事粉状乳化炸药生产、销售与研制，属于江南化工股份有限公司旗下关联企业。业务方向与弹药工程、含能材料、爆破工程及安全技术高度相关，可为学生提供了解民爆领域背景的参考，但未在企业官网或近期招聘平台看到独立校招公告或具体岗位信息，无法确认2026年是否有毕业生招聘。企业性质为有限责任公司，具体隶属关系待核对。工作地点多在安徽安庆及周边，无薪资或作息公开数据。","工作地点为安徽安庆及子公司地区，不确定是否总部;隶属关系与当前子公司状态待核对;无2026年校招公告，岗位及学历要求未知;无薪资、作息或独立招聘入口公开信息;公告或子公司信息可能随时间更新需复查","https://big5.mee.gov.cn/gate/big5/www.mee.gov.cn/gkml/hbb/bh/201105/t20110504_210190.htm"
"安徽金元素复合材料有限公司","国企","安徽省滁州市","未知","待核对","本科及以上","爆炸焊接,金属复合材料,压力容器装备材料,高新技术企业","兵器类,探测制导,安全工程,机械自动化","安徽金元素复合材料有限公司是南钢股份控股的国家级专精特新企业，主营金属复合材料研发与生产。其掌握热轧与爆炸复合双重工艺，与弹药工程及爆炸技术专业对口。公司发展稳健，技术实力强，拥有多项专利，十分适合兵器类、材料类及探测制导等专业的应届毕业生加入，从事研发或工艺类岗位。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.jysah.com"
"安徽雷鸣科化有限责任公司","国企","安徽淮北","未知","待核对","本科及以上线索，具体以最新公告为准","民爆器材,爆破工程,安全评价,集团校招","关注民爆器材、爆破工程和安全评价方向的学生。,能接受集团统一招聘和子公司分配差异的学生。,愿意核对最新招聘公告、工作地点和安全要求的学生。","安徽雷鸣科化的公开资料显示其与民爆器材、爆破工程和安全评价相关，专业关联度较高。现有招聘多来自淮北矿业集团层面，不能直接等同子公司岗位，正式导入前仍需核对岗位、薪资、作息和签约主体。","集团招聘不等于安徽雷鸣科化单独招聘。;爆破工程和生产岗位可能涉及现场作业或安全管控。;薪资、作息、福利和具体岗位未形成可靠公开口径。;企业入口、子公司关系和岗位分配仍需人工复查。","http://ahlmkhap.com/"
"山东圣世达化工有限责任公司","待核对","山东淄博","未知","待核对","待核对，具体以最新公告为准","民爆器材,金奥博线索,淄博区域,招聘入口","关注民爆器材和工艺制造的学生。,愿意到山东淄博区域就业的求职学生。,需要核对集团与子公司签约主体的学生。","公开资料显示，山东圣世达化工与民爆器材生产、金奥博集团产业链和淄博区域项目备案有关，和民爆制造、工艺安全方向有一定相关度。但当前招聘信号偏平台入口，最新校招、岗位、薪资、作息和签约主体需以官方公告复核。","招聘平台信息不能代表当前仍在招聘。;官网内容和最新岗位需人工复查。;集团、子公司和签约单位可能不同。;薪资和作息没有可靠公开口径。","http://www.sdssd.cn"
"山东天宝化工股份有限公司","国企","山东临沂","未知","待核对","本科及以上","凯龙股份控股,民爆器材研发生产,工业炸药,爆破服务","兵器类,探测制导,安全工程,机械自动化","山东天宝化工股份有限公司是深交所上市公司凯龙股份控股的子公司，具有地方国资背景。公司主要业务涵盖工业炸药等民爆器材的研发、生产、销售及工程爆破服务。其核心业务领域与兵器、安全、化工等对口专业高度契合，适合相关专业的毕业生在民爆及爆破工程领域长期稳定发展。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.tbhg.net/"
"山东特种工业集团有限公司","国企","山东淄博","未知","待核对","本科及以上线索，具体以最新公告为准","军工制造,弹药方向,民爆器材线索,校招线索","关注军工弹药制造方向的学生。,愿意到山东淄博及相关厂区工作的学生。,能接受涉密和生产安全要求复核的求职学生。","学校就业网、国聘和政府资料显示，山东特种工业集团与弹药、民爆器材、军工制造等方向有关，专业相关度较高。但缺少独立官网和最新校招细则，岗位、薪资、作息、厂区分配及涉密要求需以最新官方公告核对。","当前缺少目标企业独立官网入口。;历史招聘信息不能代表当前仍在招聘。;岗位可能分布在不同生产厂区。;薪资、作息和涉密要求没有可靠公开口径。","https://www.iguopin.com/company?id=10685311443832344"
"山西北方兴安化学工业有限公司","国企","山西省太原市","未知","待核对","硕士及以上为主","推进剂药柱生产,火工品研发,国防装备配套","对军工含能材料感兴趣的学生,化学工程、材料科学等专业本科生,有志从事国防装备配套的毕业生,了解兵器工业产业链的企业参考","该企业隶属中国兵器工业集团，为军工企业，业务方向与含能材料、火工品密切相关，适合弹药工程与爆炸技术专业学生参与生产研发岗位。招聘以硕士为主，工作地点固定在太原市尖草坪区。来源包括中国兵器集团招聘网、学校就业网及公开资料，信息客观但未独立确认官网，属于典型央企军工企业，可作为专业学生参考资料。","招聘公告可能随时变更;部分岗位偏向现场生产运维;央企国企属性可能涉及保密要求;无独立官网，信息依赖集团平台;薪资与作息未公开来源",""
"山西同德化工股份有限公司","民企","山西忻州","未知","待核对","待核对","民用炸药,爆破工程,销售流通,经营风险","需要了解山西民爆企业样本的学生。,关注民用炸药、爆破工程和安全管理岗位的学生。,能主动核对企业经营风险的学生。","公开资料显示，同德化工主营民用炸药研发、生产、销售，并提供爆破工程相关服务，专业相关性存在。但其2025年报和市场报道显示经营压力较大，就业端应重点核对招聘真实性、岗位稳定性、薪资和作息。","公开资料显示经营压力较大，不宜作为稳岗结论。;未找到可靠最新校招公告。;薪资、作息、福利均无可靠公开口径。;投递前应核对重整进展、签约主体和劳动合同主体。","http://www.tondchem.com/"
"山西壶化集团股份有限公司","民企","山西长治","未知","待核对","待核对","工业炸药,工业雷管,爆破服务,进出口","关注山西及周边民爆企业的学生。,关注工业雷管、炸药和起爆器材的学生。,愿意核对生产现场和爆破服务岗位的学生。","公开资料显示，壶化股份业务围绕民爆、出口、爆破、军工等板块，产品涉及工业炸药、工业雷管、导爆索和起爆具。它与弹药工程、爆破工程相关，但招聘信息不足，不能判断薪资和作息。","官网入口稳定性需后续复查。;招聘公告不足，薪资和作息保持未知。;爆破服务岗位可能涉及现场和出差。;民爆产品进出口业务与本专业相关度需按岗位判断。","http://www.shanxihuhua.com/"
"山西江阳化工有限公司","国有","山西省太原市","未知","待核对","待核对","军用弹药研发生产,特种炸药制品,民用爆破器材,军民融合企业","弹药工程与爆炸技术专业学生,对军工含能材料感兴趣的理工科学生,希望从事爆炸技术相关研发或生产的毕业生","山西江阳化工有限公司隶属于晋西工业集团（中国兵器工业集团下属），是国家重点保军企业，核心业务为军用弹药及特种炸药制品研发生产，兼营民用爆破器材和化工机械。专业匹配弹药工程与爆炸技术相关领域，适合该专业学生关注其校园招聘信息。资料可信度较高，主要来自公开招聘简章和百科，未发现企业独立官网。相关度高，但工作地点主要为太原尖草坪区，涉军工属性需注意保密要求。","工作地点主要为太原尖草坪区，需确认岗位具体分配;涉军工性质，可能涉及保密或特殊要求;无独立官网，招聘信息通过晋西集团渠道发布;招聘公告存在更新与有效期风险","https://jobcareer.sdu.edu.cn/eweb/jygl/index.so?modcode=jygl_zpxxck&subsyscode=zpfw&type=ssoViewZpxx&id=UD2wvmPrKiURfvjv671ATy"
"广东中人爆破工程有限公司","民企","广东省广州市","未知","待核对","大专/本科","资质齐全,大型爆破施工,人才考证报销","立志于在珠三角深耕工程爆破与安全监理的学生,希望通过单位通道稳定考取爆破作业三大员资格证的人才","华南地区资质齐全、业务深厚的独立爆破工程公司。公司不仅承接大型施工，还在招聘中明确表态愿意培养应届生考取公安部初级爆破证，适合意向去广东发展的基层工程技术人员。","官网维护更新较慢，获取最新项目状态略有难度;部分项目属于常规土石方爆破，技术天花板可能受限;项目驻场期间的作息规律性无法保证","http://www.gdzrbp.com"
"广东华威化工股份有限公司","待核对","广东省梅州市兴宁市","未知","待核对","待核对","华南入口,民爆产品,广东区域,集团子公司线索","关注华南民爆生产企业的学生。,关注生产技术、工艺质量和安全管理的学生。,广东或梅州就业意向较强的学生。","广东华威化工股份有限公司可作为广东梅州区域民爆产品生产入口。现有证据包括政府资料、上级集团入口、上市公司公告入口和招聘平台线索，可支撑行业相关性；独立官网、最新招聘、薪资和作息仍需复查。","未找到稳定独立官网。;招聘平台不能代表当前校招开放。;薪资、作息和学历要求没有可靠公开口径。;与上级集团岗位不能混写，需要核对签约主体。","https://guangdong.chinatax.gov.cn/gdsw/mzsw_jcdt/2026-01/12/content_f8517b56d864402ab4690d8135aea8d5.shtml"
"广东宏大控股集团股份有限公司","国企","广东广州","未知","待核对","本科及以上岗位线索，具体待核对","国资控股,民爆一体化,防务板块,矿山服务","关注爆破工程、民爆服务或防务装备方向的学生。,能接受项目现场、分子公司岗位差异的学生。,希望了解国资控股民爆上市公司的学生。","公开资料显示，广东宏大为国资控股上市公司，业务覆盖防务、民爆、矿服等板块，与爆破工程、民爆服务和装备研发方向关联较强。招聘多可能落在子公司或项目现场，薪资、作息和常驻地点需按最新公告核对。","招聘主体可能是子公司，不一定是集团总部。;矿山、爆破和工程服务岗位可能涉及现场作业。;薪资、作息、福利未形成可靠公开口径。;防务岗位可能有保密和背景审查要求。","https://www.gdhdkg.com/"
"广东锡源爆破科技股份有限公司","民企","广东省惠州市","未知","待核对","大专/本科","矿山爆破一体化,隧道与水下炸礁,省级工程技术中心","期望在广东及周边地区从事工程爆破的技术人员,弹药工程、采矿工程去向偏现场施工的学生","华南地区老牌且业务覆盖广泛的独立爆破工程服务商，为采矿工程和弹药工程（工程爆破方向）毕业生在华南就业提供稳定底座。它同时被认定为广东省爆破工程技术研究中心，有一定科技含量。","爆破施工企业多在野外作业，作息相对艰苦;民企的福利政策透明度有待考证;主要依赖社会招聘，校招渠道不明显","http://www.xiyuanbaopo.com"
"葛洲坝易普力广西威奇化工有限责任公司","国企/民企/外企/创业公司/待核对","广西壮族自治区柳州","未知","待核对","待核对","民爆物品生产,含能材料研发,爆破一体化服务,矿山工程施工","关注民爆安全工程的本科生,化学工程与工艺专业学生,有安全技术兴趣的毕业生,广西本地或柳州就业意向者","广西威奇化工有限责任公司（现名葛洲坝易普力广西威奇化工有限责任公司）为柳州本土民爆企业，隶属于易普力集团（中国能建旗下），从事乳化炸药等含能材料生产与爆破服务。弹药工程与爆炸技术专业学生可关注其工艺制造与安全技术岗位，但目前无公开校招公告或具体薪资/作息信息，招聘信号处于待核对状态。核心风险包括企业性质为国企子公司（非直接军工）、工作地点可能为生产基地（柳州/兴安/金秀），且安全相关岗位或涉密，需优先通过学校就业网或集团渠道获取最新动态。","无最新校招公告;工作地点为生产基地而非总部;国企子公司性质可能需行政审批;安全岗位可能倒班或涉密;招聘信息来源有限","www.cggc.cn"
"广西金建华民用爆破器材有限公司","待核对","广西壮族自治区百色市","未知","待核对","待核对","民爆器材生产,军民融合单位,百色建华机械厂内","关注民爆行业生产、含能材料技术及爆炸工程的本科或研究生,对军民融合军工背景感兴趣的学生,愿意从事化工生产、设备制造或技术服务的专业人才","广西金建华民用爆破器材有限公司是广西建华机械有限公司控股的民用爆破器材生产企业，隶属军民融合单位，位于百色市建华机械厂内。业务方向包括乳化炸药、电雷管、导爆管等民爆器材生产、设备制造及销售，符合弹药工程与爆炸技术专业培养方向。无公开2025-2026年校招公告，薪资及作息待核对。适合从事民爆生产、含能材料或安全技术相关专业的学生，但需关注涉密管理及现场工作环境。","无最新官方招聘公告，可能岗位不对外公开;工作地点可能涉及厂区现场，岗位偏生产一线;部分信息来源为招聘平台，需核实股权归属;涉及民爆许可项目，可能有安全及保密要求;总部与分公司地址可能不一致","空字符串"
"张家港富瑞特种装备股份有限公司","民企","张家港市苏州市","未知","双休","本科及以上","LNG防爆特种装备,化工压力容器","兵器类,探测制导,安全工程,机械自动化","张家港富瑞特种装备股份有限公司是深交所创业板上市民企，专注于LNG全产业链、化工压力容器等特种装备制造。其在防爆装备和特种压力容器领域的技术积累，与兵器科学、安全工程和机械类专业有较高契合度。公司提供双休且发展稳定，是相关专业毕业生在特种装备及相关制造方向非常优质的就业选择。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.furuigroup.com"
"成都雷电微力科技股份有限公司","民企","四川省成都市","未知","双休","本科及以上","核心配套","兵器类,探测制导,安全工程,机械自动化","该企业为深交所上市民营企业，系国内毫米波有源相控阵微系统头部公司，深度涉及军工核心配套。尽管部分岗位存加班情况，但技术壁垒高、福利完善。非常适合探测制导、电子通信、材料与机械等对口专业毕业生作为军工配套方向的优质选项。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.rml138.com"
"招远民爆器材集团","民企","山东省招远市","未知","待核对","待核对","民营企业,民爆销售,爆破施工,加入我们入口","关注民营民爆企业的学生,关注爆破施工和现场服务的学生,关注山东区域就业入口的学生","招远民爆器材集团官网显示其业务涉及民爆销售、仓储配送、运输和爆破施工，可作为山东区域民营民爆企业入口。该条目适合学生查企业入口和业务方向，具体法律主体、岗位、学历、薪资、作息和工作地点仍需按最新招聘信息复查。","加入我们页面不能代表当前有校招岗位。;具体签约法律主体需复查。;岗位可能涉及仓储、运输或施工现场。;薪资、作息和学历要求没有稳定公开证据。","https://www.zycsbp.com/"
"新疆大明矿业集团股份有限公司","民企","新疆维吾尔自治区哈密市","未知","待核对","大专/本科","大型民营矿企,铁矿采选,安全生产标准化一级","有意向在新疆矿山行业发展的学生,采矿工程、安全工程及具备爆破作业能力的弹药工程毕业生","新疆大明矿业是新疆哈密地区颇具规模的民营铁矿采选企业。该企业在环保治理及安全标准化建设上有一定投入，不仅曾获得非煤矿山安全生产标准化一级资质，还被列为国家级绿色矿山试点单位。对于采矿工程、弹药工程和安全工程想在新疆矿区发展的同学而言，是一个相对成规模的稳定选择。","民企的福利待遇和人员流动情况需进一步核对;当前未公开大规模的高校校招计划","http://www.xjdmky.com"
"新疆雪峰科技（集团）股份有限公司","待核对","新疆维吾尔自治区乌鲁木齐市","未知","待核对","待核对","上市公司,工业炸药,电子雷管,爆破工程","关注新疆区域民爆企业的学生,关注工业炸药和电子雷管方向的学生,关注爆破工程服务岗位的学生","新疆雪峰科技（集团）股份有限公司公开资料显示其业务涉及工业炸药、电子雷管、爆破工程及民爆服务，与弹药工程、爆破工程和安全技术方向相关。当前可作为新疆区域民爆企业入口收录，但招聘岗位、薪资、作息、签约主体和股权口径仍需按最新官网或公告复查。","招聘平台信息不能代表当前校招。;工作地点可能集中在新疆或下属单位。;股权和签约主体需按最新公告复查。;薪资、作息和岗位要求未形成稳定证据。","https://www.xjxfkj.com"
"新黎明科技股份有限公司","民企","江苏省苏州市","未知","待核对","待核对","防爆电器,防爆管件,智能防爆","关注防爆电器、工业爆炸防护装备及配套的学生。,希望寻找长三角或华东区域防爆制造板块的学生。","新黎明科技股份有限公司是国内专业的防爆电器 / 智能防爆设备领域主体，产品包括防爆电器、防爆管件、智能防爆等。其产品及方向适用于弹药与爆炸技术防爆管理及配套，但具体岗位及作息待遇数据尚未被官方招聘直接佐证，需以当年最新材料核实。","当前无公开可考证的薪资与作息数据。;具体生产及研发岗位的学历门槛可能发生变化。;独立校招公告需按学校就业网最新批次更新。","https://www.sunleem.com/"
"昆船智能技术股份有限公司","国企","云南省昆明市","未知","待核对","本科及以上","核心配套","兵器类,探测制导,安全工程,机械自动化","昆船智能隶属于中国船舶集团，是国内领先的自动化物流装备及系统集成商。其核心业务包含为军工领域提供符合严苛防爆要求的智能化仓储系统，广泛应用于火工品、弹药等特种物资的安全存储与配送。对于兵器类、机械类及安全工程等专业毕业生，该企业专业对口度较高，国企平台稳定，是参与国防军工配套建设的优质选择。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.ksecit.com"
"易普力股份有限公司","国企","湖南长沙","8k-10k/月（历史岗位样本，待核对）","待核对","本科及以上（历史岗位样本，待核对）","央企成员,民爆产品,爆破工程,矿山服务,历史校招样本","关注民爆产品、爆破工程、矿山服务或安全管理方向的学生。,能接受部分岗位可能涉及项目现场、矿山或工程施工环境的学生。,专业背景与弹药工程、爆炸技术、安全工程或化学化工相关的毕业生。","公开资料显示，易普力属于中国能建体系，业务涉及民爆产品、爆破工程和矿山服务，和弹药工程与爆炸技术、安全工程等方向有明确关联。现有招聘线索多为历史公告或平台入口，岗位、薪资、作息和工作地点需以最新官方招聘为准。","最新校招和社招公告未完全核对，历史岗位样本可能已经过期。;薪资样本来自历史招聘信息，实际薪资需按最新岗位和工作地点复核。;作息、集中休假、补贴和福利没有形成可靠公开口径。;签约主体和常驻地点可能因子公司、项目部或工程区域不同而变化。","http://www.expl.ceec.net.cn/"
"星际控股集团有限公司","民企","鹿城区温州","未知","待核对","本科及以上","警用装备,排爆机器人,交警特警装备","兵器类,探测制导,安全工程,机械自动化","星际控股集团有限公司是国内领先的警用装备和公共安全领域民营高新技术企业。其核心业务包括警用装备、排爆机器人、智能终端等，技术需求与兵器科学、探测制导、机械自动化及安全工程等专业高度契合，是应届毕业生在安防和警用装备行业发展的优质选择。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.senken.com.cn/"
"晋西工业集团有限责任公司","国企","山西省太原市","未知","待核对","硕士及以上为主，本科可考虑; 待核对","兵器工业集团战略性子集团,太原为中心地跨三省,民爆现场混装炸药,铁路车轴全球领先","关注军工相关专业本科及研究生,希望在太原及周边从事试验验证或工艺制造工作,对含能材料或民爆技术感兴趣的同学,接受国企安全背景审查及长期稳定性职业发展","晋西工业集团有限责任公司隶属于中国兵器工业集团，是军民融合企业，总部位于太原市，主营军用设备及民品业务，旗下有民爆、含能材料等领域，适合弹药工程与爆炸技术专业学生。公开资料显示其曾发布相关专业岗位招聘，但无企业官网或最新2026校招公告，无法确认当前招聘信号、薪资及工作地点。来源为高校就业网及公开平台，信息量有限，存在公告截止时间较早及实地岗位不确定风险。","无企业官网无法直接审核入库;招聘公告多为2024或2025年，2026最新信号待核对;部分岗位可能位于生产基地而非总部;军工企业岗位常涉及安全审查及保密要求;薪资及具体工作城市分布未有公开明确来源","待核对"
"江苏八方安全设备有限公司","民企","江苏省徐州市","未知","待核对","待核对","阻火器,呼吸阀,爆破片,安全泄压","关注防爆电器、工业爆炸防护装备及配套的学生。,希望寻找长三角或华东区域防爆制造板块的学生。","江苏八方安全设备有限公司是国内专业的安全泄压设备 / 阻火安全领域主体，产品包括阻火器、呼吸阀、爆破片、安全泄压等。其产品及方向适用于弹药与爆炸技术防爆管理及配套，但具体岗位及作息待遇数据尚未被官方招聘直接佐证，需以当年最新材料核实。","当前无公开可考证的薪资与作息数据。;具体生产及研发岗位的学历门槛可能发生变化。;独立校招公告需按学校就业网最新批次更新。","https://www.basco.cc/"
"江苏科动电子技术有限责任公司","民企","江苏省扬州市","未知","待核对","本科及以上","冲击动力学测试仪器,超动态应变仪,霍普金森杆配套传感器","兵器类,探测制导,安全工程,机械自动化","江苏科动电子（原扬州科动）专业从事振动冲击、爆炸压力及应变传感器与配套仪器的研发生产，常为中物院及兵器类院所提供霍普金森杆动态测试设备。公司核心业务与弹药工程、探测制导及爆炸力学高度契合。对于兵器、探测制导及安全工程等相关专业的毕业生，该企业专业对口度高，非常适合从事研发、测试及技术支持等相关工作。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.yzkds.com/"
"江苏顺达警用装备制造有限公司","民企","靖江泰州","未知","待核对","本科及以上","警用防护装备,防爆服,排爆服,防暴盾牌","兵器类,探测制导,安全工程,机械自动化","江苏顺达是一家深耕警用及安防装备领域的民营企业，主营防暴服、排爆服、单警装备等。其为公安部单警装备入围企业，资质深厚。相关研发与生产适合兵器类、安全工程、材料等专业毕业生关注。因具体薪酬及工作制待确认，建议求职时主动核实待遇情况。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.jsshunda.cn/"
"江西国泰集团股份有限公司","国企","江西南昌","未知","待核对","待核对","省属国企,民爆一体化,军工新材料,爆破服务","关注江西省属民爆企业的学生。,关注民爆生产、爆破施工和安全管理的学生。,愿意核对省内多地岗位的学生。","公开资料显示，国泰集团以民爆一体化为主体，并有军工新材料、轨交自动化及信息化等业务。民爆产品、爆破施工和安全管理与本专业相关；招聘入口可关注，但薪资、作息和岗位地点没有可靠统一口径。","岗位可能分布在集团本部和下属单位。;招聘平台信息可能下线或过期。;薪资、作息和福利需以官方公告或面试为准。;非民爆业务与本专业相关性较弱。","https://www.jxgtjtgw.com/"
"江西国鲲微电子科技有限公司","国企","江西省南昌市","未知","待核对","本科及以上","国泰集团核心,模组产线,高新技术企业","微电子、自动化、测控与仪器专业毕业生,倾向于国泰供应链内高附加值技术岗位的学生","作为国泰集团解决电子雷管芯片模组产业链核心问题设立的专项科技公司，是弹药工程与微电子交叉方向学生的绝佳技术型入库候选。该公司被认定为高新技术企业，并且具备成熟的自动化生产线。","暂无统一的独立对外官网可以访问;公开招聘入口需要进一步深挖集团内推或校招信息;具体薪资福利政策处于未知状态","http://www.cninfo.com.cn/test1"
